ID,Famille,Fonctionnalité,Statut,Usage et limites,Sources,Commit,Date de lecture
O02,"🔀 Orchestrer agents, code et événements",Outils déterministes et scripts,Documenté,"Nœuds de commandes ou scripts JavaScript, Python, shell/Bash ; restitution de stdout et gestion des erreurs.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/dsl.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
O03,"🔀 Orchestrer agents, code et événements",Calculs sans modèle ni shell,Documenté,"Nœud compute : expressions bornées, transformations, map/filter/reduce et sorties typées.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/dsl.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
O04,"🔀 Orchestrer agents, code et événements","Routage conditionnel, LLM et round-robin",Documenté,"Choisir une branche à partir de règles, d’un arbitrage du modèle ou d’une alternance déclarée.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/routers.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
O05,"🔀 Orchestrer agents, code et événements",Branches parallèles et collecte,Conditionnel / limité,"fan_out_all, fan_out_each, collecte wait_all ou best_effort ; les écritures concurrentes du workspace sont restreintes.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/routers.md https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/groups-iteration-subbots.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
O06,"🔀 Orchestrer agents, code et événements",Boucles bornées et parcours ordonnés,Documenté,Boucles de correction et foreach avec compteurs ; un tableau vide nécessite une garde si le corps ne doit jamais s’exécuter.,https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/groups-iteration-subbots.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
O07,"🔀 Orchestrer agents, code et événements",Groupes paramétrés réutilisables,Documenté,Déclarer un sous-graphe et l’instancier avec paramètres et préfixes distincts.,https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/groups-iteration-subbots.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
O08,"🔀 Orchestrer agents, code et événements",Sous-bots avec leurs propres exécutions,Conditionnel / limité,"Appeler un autre bot, récupérer sa sortie et isoler son travail ; budgets, mémoire et superviseurs ont des limites parent/enfant.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/groups-iteration-subbots.md https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/memory-and-knowledge.md https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/supervisors.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
O09,"🔀 Orchestrer agents, code et événements",Pools de ressources et limites de concurrence,Documenté,"Déclarer des ressources et réserver un slot avec needs, par exemple pour limiter les worktrees simultanés.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/groups-iteration-subbots.md https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/dsl.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
O10,"🔀 Orchestrer agents, code et événements",Émettre et attendre un événement interne,Conditionnel / limité,"emit/wait à l’intérieur d’un run, événement conservé pour les attentes tardives et timeout obligatoire. Le stationnement durable sur événement externe est différé.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/adr/051-in-bot-event-driven-primitives.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
B01,"🧠 Modèles, sessions et contexte",Six backends d’exécution,Conditionnel / limité,"claw, claude_code, pi, codex, kimi, grok ; capacités et niveau de support différents.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/backends.md https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/delegation.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
B02,"🧠 Modèles, sessions et contexte",Choix du modèle et du backend par nœud,Documenté,Mélanger les exécuteurs dans un workflow ; choisir le modèle indépendamment du backend et appliquer des overrides au lancement.,https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/backends.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
B03,"🧠 Modèles, sessions et contexte",Repli entre fournisseurs ou identifiants,Conditionnel / limité,Chaînes de fallback configurables lorsque l’accès initial ne convient pas ; les changements doivent rester observables.,https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/backends.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
B04,"🧠 Modèles, sessions et contexte",Repli entre backends et route de saut,Conditionnel / limité,"Repli déclaré vers un autre exécuteur ou une route skip prévue par le workflow ; prérequis validés, Codex exclu de la première version du repli inter-backends.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/backends.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
B05,"🧠 Modèles, sessions et contexte","Sessions fraîches, héritées ou bifurquées",Conditionnel / limité,Choisir la continuité conversationnelle entre étapes ; reprise et fork de session non câblés pour Kimi/Grok.,https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/dsl.md https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/delegation.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
B06,"🧠 Modèles, sessions et contexte",Session conservée au retour dans un nœud,Conditionnel / limité,"session: persist réutilise la conversation du même nœud dans une boucle ; Claude Code, pi et Codex, sur le tronc du workflow.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/adr/089-session-persist.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
B07,"🧠 Modèles, sessions et contexte",Transmission par artefacts uniquement,Documenté,artifacts_only transmet le résultat utile sans imposer l’historique conversationnel de l’étape précédente.,https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/dsl.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
B08,"🧠 Modèles, sessions et contexte",Compaction du contexte,Conditionnel / limité,Seuil et conservation d’échanges récents configurables ; dépend de l’exécuteur et peut accompagner une récupération d’erreur.,https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/dsl.md https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/adr/056-adaptive-run-level-recovery.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
B09,"🧠 Modèles, sessions et contexte",Curseurs de comportement,Documenté,"Dials qualitatifs ou numériques injectés dans les prompts : profondeur, prudence, style… Ils orientent le modèle sans imposer une permission ou garantir une qualité.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/cursors.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
B10,"🧠 Modèles, sessions et contexte",Réglage de l’effort de raisonnement,Conditionnel / limité,"Choisir reasoning_effort par nœud ou par donnée transmise ; le niveau est adapté aux valeurs acceptées par le modèle et le backend, indépendamment des curseurs.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/ultracode.md https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/pkg/backend/model/effort.go,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
B11,"🧠 Modèles, sessions et contexte",Sous-agents et workflows créés pendant un nœud,Conditionnel / limité,"Le mode ultracode ouvre l’orchestration dynamique sur claw et Claude Code selon modèle, harness et outils ; distinct du fan-out et des sous-bots déclarés. Pi ne fournit pas cette surface.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/ultracode.md https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/pkg/backend/model/executor_build_task.go https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/pkg/backend/delegate/pi.go,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
H01,🙋 Faire intervenir et guider un humain,Formulaires de validation typés,Documenté,"Nœuds human avec texte, choix, booléens, nombres et listes ; contexte à relire séparé des réponses attendues.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/human-in-the-loop.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
H02,🙋 Faire intervenir et guider un humain,Questions de l’agent pendant son travail,Conditionnel / limité,"Outil ask_user avec réponse via Studio, CLI ou API ; support dépendant du backend et du transport.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/human-in-the-loop.md https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/delegation.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
H03,🙋 Faire intervenir et guider un humain,Questions sans bloquer l’agent,Conditionnel / limité,"ask_user_async laisse l’agent poursuivre, puis lui transmet les réponses ; interaction asynchrone déclarée sur le tronc, pas dans les branches fan-out.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/async-interaction.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
H04,🙋 Faire intervenir et guider un humain,Point explicite d’attente des réponses,Conditionnel / limité,"await_answers synchronise les questions en cours ; timeout requis pour le nœud, qui reste un run actif pendant l’attente.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/async-interaction.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
H05,🙋 Faire intervenir et guider un humain,Réponse automatique ou escalade humaine,Conditionnel / limité,Modes llm et llm_or_human selon la politique du workflow ; l’automatisation de la réponse n’équivaut pas à une approbation humaine.,https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/human-in-the-loop.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
H06,🙋 Faire intervenir et guider un humain,Consignes ajoutées à un run actif,Conditionnel / limité,Inbox et steering pour réorienter le travail aux points de prise en compte du backend ; l’action en cours n’est pas instantanément annulée.,https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/backends.md https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/supervisors.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
H07,🙋 Faire intervenir et guider un humain,Fichiers et images au lancement ou à une réponse,Conditionnel / limité,"Pièces jointes persistées, MIME, taille et hash ; vision selon le modèle. Les review gates n’acceptent pas les mêmes uploads que les nœuds humains ordinaires.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/attachments.md https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/human-in-the-loop.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
H08,🙋 Faire intervenir et guider un humain,Dialogue de revue avant intégration,Conditionnel / limité,"Review companion, demandes de correction et éventuellement environnement de revue ; politique human_required ou verdict agent explicitement choisi.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/review-merge-gate.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
H09,🙋 Faire intervenir et guider un humain,Pause opérateur avec checkpoint,Conditionnel / limité,"Demander une pause à la prochaine frontière sûre et reprendre ensuite ; chemin local en processus, pause distante cloud non implémentée.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/pkg/runview/service_control.go,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
S01,👁️ Superviser une mission en cours,Agent superviseur d’un autre agent,Conditionnel / limité,Observer un nœud agent/judge et injecter des conseils pendant l’exécution ; les superviseurs déclarés dans un sous-bot ne sont pas raccordés aujourd’hui.,https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/supervisors.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
S02,👁️ Superviser une mission en cours,"Moniteurs, cadence et budget de supervision",Documenté,"Réagir aux événements, erreurs ou signaux de coût avec cooldown et nombre maximal d’évaluations ; coûts de supervision à prendre en compte.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/supervisors.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
S03,👁️ Superviser une mission en cours,Attachement d’un superviseur à une session,Conditionnel / limité,"Attacher en CLI à un run local, ou à une session Claude Code avec transcript et hooks préparés ; attachement distant cloud différé.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/supervisors.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
S04,👁️ Superviser une mission en cours,Modifier budgets et itérations en cours de run,Conditionnel / limité,"Relever les limites ou accorder des itérations supplémentaires, avec accusé de prise en compte et trace ; application aux frontières sûres.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/dsl.md https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/pkg/runview/steer.go,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
M01,📚 Mémoire et connaissances réutilisables,Mémoire documentaire entre exécutions,Documenté,"Conserver des connaissances sous forme de documents Markdown, au-delà des artefacts d’un seul run.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/memory-and-knowledge.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
M02,📚 Mémoire et connaissances réutilisables,Sept périmètres de visibilité,Conditionnel / limité,"Run privé, bot, projet, plusieurs projets, utilisateur, organisation, catalogue global ; stockage et contexte qualifient l’accès, le global est en lecture seule pour les organisations.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/memory-and-knowledge.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
M03,📚 Mémoire et connaissances réutilisables,"Lecture, écriture et liste par l’agent",Conditionnel / limité,"memory_read, memory_write, memory_list, droits configurables ; vérifier l’adaptateur et le backend utilisés.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/memory-and-knowledge.md https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/pkg/backend/model/memory_tools.go,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
M04,📚 Mémoire et connaissances réutilisables,Index et chargement sélectif en contexte,Documenté,"Injecter un index, précharger certains documents et réinjecter la mémoire avant compaction selon la configuration.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/memory-and-knowledge.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
M05,📚 Mémoire et connaissances réutilisables,Mémoire automatique du bot,Conditionnel / limité,"auto_memory conserve un MEMORY.md par bot et dépôt ; opt-in sur claw/Claude Code/pi, avec restrictions pour les sandboxes cloud sans read-back.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/memory-and-knowledge.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
M06,📚 Mémoire et connaissances réutilisables,Quotas et garde sur les secrets de mémoire,Conditionnel / limité,"Quotas agrégés et par espace/document ; détection de secrets structurés, sans garantie de détection de toute donnée confidentielle.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/memory-and-knowledge.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
M07,📚 Mémoire et connaissances réutilisables,Import et export de mémoire,Documenté,"Archives tar.gz via CLI/API et stratégies skip, overwrite ou rename pour conserver ou transférer les connaissances.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/memory-and-knowledge.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
X01,"🧩 Skills, plugins et intégrations techniques",Bibliothèque de skills éditables,Conditionnel / limité,"Skills globales, projet ou embarquées ; CLI de gestion et éditeur local, transport des skills sélectionnées vers les runners cloud.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/skills-library.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
X02,"🧩 Skills, plugins et intégrations techniques",Skills sélectionnées par workflow ou nœud,Documenté,"Nom et description dans le contexte, contenu chargé à la demande ; une skill absente produit un avertissement.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/skills-library.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
X03,"🧩 Skills, plugins et intégrations techniques",Plugins à contributions déclaratives,Conditionnel / limité,"MCP, skills, réécriture de sorties, commandes, agents, hooks et cycle de vie ; toutes ces contributions ne sont pas prises en charge par tous les backends.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/plugins.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
X04,"🧩 Skills, plugins et intégrations techniques",Plugins privés d’organisation depuis Git,Documenté,"Sources privées et sources publiques, résolues puis transportées pour les runs locaux ou cloud.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/plugins.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
X05,"🧩 Skills, plugins et intégrations techniques",Compression des sorties de commandes,Conditionnel / limité,Plugin RTK et modes compress pour réduire le texte envoyé au modèle ; disponibilité du plugin et activation propre à chaque surface.,https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/plugins.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
X06,"🧩 Skills, plugins et intégrations techniques",Client MCP dans les workflows,Conditionnel / limité,"Déclarer des serveurs MCP, les hériter ou les désactiver par nœud ; transports et support dépendent du backend.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/dsl.md https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/delegation.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
X07,"🧩 Skills, plugins et intégrations techniques",Serveur MCP pour piloter Iterion,Documenté,"iterion mcp expose lancement, suivi, réponses humaines et opérations de board, en local ou vers une instance distante configurée.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/mcp-server.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
X08,"🧩 Skills, plugins et intégrations techniques",Recherche web et lecture de pages,Conditionnel / limité,"Outils natifs ou fournisseurs/MCP configurés, dont DuckDuckGo, Brave, SearXNG et Firecrawl ; couverture variable selon le backend.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/web-search.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
R01,"⏪ Reprendre, réparer et revenir en arrière",Checkpoints de l’état du workflow,Conditionnel / limité,"Reprendre les états éligibles avec sorties, compteurs et position ; une étape interrompue peut être réexécutée.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/resume.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
R02,"⏪ Reprendre, réparer et revenir en arrière",Reprise des sous-bots après redémarrage,Conditionnel / limité,"Rattacher le parent à l’exécution enfant enregistrée, au lieu de relancer systématiquement un nouvel enfant ; selon l’état récupérable.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/adr/084-subbot-reattach-across-restarts.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
R03,"⏪ Reprendre, réparer et revenir en arrière",Retour à un nœud antérieur,Conditionnel / limité,rewind invalide les sorties dépendantes ; --auto recherche le nœud modifié. Contraintes sur branches et états de départ.,https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/resume.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
R04,"⏪ Reprendre, réparer et revenir en arrière",Snapshots des fichiers hors historique Git,Conditionnel / limité,"Tracker filesystem branché sur CLI/Studio local, états dédupliqués aux frontières d’exécution ; le runner cloud ne branche pas ce tracker. Distinct des checkpoints workspace Git poussés.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/workspace-versioning.md https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/pkg/runview/service_launch.go https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/pkg/runner/loop.go,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
R05,"⏪ Reprendre, réparer et revenir en arrière",Restauration ciblée et sauvegarde avant retour,Conditionnel / limité,"À partir des snapshots locaux disponibles, restaurer les fichiers produits par le run en protégeant des changements de l’opérateur ; chemins ignorés ou trop volumineux exclus.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/workspace-versioning.md https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/resume.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
R06,"⏪ Reprendre, réparer et revenir en arrière",Actions avec postcondition vérifiable,Documenté,"Vérifier une condition avant et après commande, sauter une action déjà satisfaite, choisir une politique required/recover/best_effort.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/adr/044-adaptive-recovery-for-deterministic-action-nodes.md https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/pkg/backend/model/executor_verified_action.go,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
