ID,Category,Feature,Status,Usage and limitations,Sources,Commit,Reviewed on
O08,"🔀 Orchestrating agents, code and events",Sub-bots with their own runs,Conditional / limited,"Call another bot, retrieve its output and isolate its work; budgets, memory and supervisors have parent/child limitations.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/groups-iteration-subbots.md ; https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/memory-and-knowledge.md ; https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/supervisors.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
O09,"🔀 Orchestrating agents, code and events",Resource pools and concurrency limits,Documented,"Declare resources and reserve a slot with needs, for example to limit simultaneous worktrees.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/groups-iteration-subbots.md ; https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/dsl.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
O10,"🔀 Orchestrating agents, code and events",Emitting and waiting for internal events,Conditional / limited,"In-run emit/wait, retained events for late waiters and mandatory timeouts. Durable parking on external events is deferred.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/adr/051-in-bot-event-driven-primitives.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
B01,"🧠 Models, sessions and context",Six execution backends,Conditional / limited,"claw, claude_code, pi, codex, kimi, grok, with different capabilities and support levels.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/backends.md ; https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/delegation.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
B02,"🧠 Models, sessions and context",Model and backend selection per node,Documented,"Mix executors in one workflow, select the model independently of the backend and apply launch overrides.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/backends.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
B03,"🧠 Models, sessions and context",Provider or credential fallback,Conditional / limited,Configurable fallback chains when the initial access is unsuitable; changes should remain observable.,https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/backends.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
B04,"🧠 Models, sessions and context",Cross-backend fallback and skip routes,Conditional / limited,Declare a fallback executor or a workflow-defined skip route; prerequisites are validated. Codex is excluded from the first cross-backend fallback version.,https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/backends.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
B05,"🧠 Models, sessions and context","Fresh, inherited or forked sessions",Conditional / limited,Choose conversational continuity between steps; session resume and fork are not wired for Kimi/Grok.,https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/dsl.md ; https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/delegation.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
B06,"🧠 Models, sessions and context",Persistent sessions on node re-entry,Conditional / limited,"session: persist reuses a node's conversation in a loop; supported on Claude Code, pi and Codex along the main workflow path.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/adr/089-session-persist.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
B07,"🧠 Models, sessions and context",Artifact-only handoff,Documented,artifacts_only passes the useful result without carrying the previous step's conversation history.,https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/dsl.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
B08,"🧠 Models, sessions and context",Context compaction,Conditional / limited,Configurable threshold and retention of recent exchanges; depends on the executor and can support error recovery.,https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/dsl.md ; https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/adr/056-adaptive-run-level-recovery.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
B09,"🧠 Models, sessions and context",Behavior dials,Documented,"Qualitative or numeric prompt settings for depth, caution, style and more. They guide the model without enforcing permissions or guaranteeing quality.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/cursors.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
B10,"🧠 Models, sessions and context",Reasoning effort settings,Conditional / limited,"Choose reasoning_effort per node or through input data; levels adapt to model and backend support, independently of behavior dials.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/ultracode.md ; https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/pkg/backend/model/effort.go,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
B11,"🧠 Models, sessions and context",Sub-agents and workflows created within a node,Conditional / limited,"ultracode enables dynamic orchestration on claw and Claude Code depending on model, harness and tools; separate from declared fan-out and sub-bots. Pi does not provide this capability.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/ultracode.md ; https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/pkg/backend/model/executor_build_task.go ; https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/pkg/backend/delegate/pi.go,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
H01,🙋 Human interaction and guidance,Typed approval forms,Documented,"human nodes support text, choices, booleans, numbers and lists; review context is separate from expected answers.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/human-in-the-loop.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
H02,🙋 Human interaction and guidance,Agent questions during execution,Conditional / limited,"ask_user with answers through Studio, CLI or API; support depends on backend and transport.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/human-in-the-loop.md ; https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/delegation.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
H03,🙋 Human interaction and guidance,Questions without blocking the agent,Conditional / limited,"ask_user_async lets the agent continue before receiving answers; asynchronous interaction runs on the main path, outside fan-out branches.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/async-interaction.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
H04,🙋 Human interaction and guidance,Explicit answer synchronization,Conditional / limited,"await_answers synchronizes pending questions; the node requires a timeout, and the run remains active while waiting.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/async-interaction.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
H05,🙋 Human interaction and guidance,Automatic answers or human escalation,Conditional / limited,llm and llm_or_human modes follow workflow policy; an automated answer is not human approval.,https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/human-in-the-loop.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
H06,🙋 Human interaction and guidance,Guidance added to an active run,Conditional / limited,Inbox and steering redirect work at backend-defined intake points; they do not instantly cancel an ongoing action.,https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/backends.md ; https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/supervisors.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
H07,🙋 Human interaction and guidance,Files and images at launch or in an answer,Conditional / limited,"Persisted attachments with MIME type, size and hash; vision depends on the model. Review gates do not accept the same uploads as ordinary human nodes.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/attachments.md ; https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/human-in-the-loop.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
H08,🙋 Human interaction and guidance,Review dialogue before integration,Conditional / limited,"Review companion, correction requests and an optional review environment; explicitly choose human_required or an agent verdict.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/review-merge-gate.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
H09,🙋 Human interaction and guidance,Operator pause with checkpoint,Conditional / limited,"Request a pause at the next safe boundary, then resume; local in-process path only, with remote cloud pause unimplemented.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/pkg/runview/service_control.go,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
S01,👁️ Supervising an active mission,Agent supervising another agent,Conditional / limited,Observe an agent/judge node and inject guidance during execution; supervisors declared inside sub-bots are not currently wired.,https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/supervisors.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
S02,👁️ Supervising an active mission,"Supervision monitors, cadence and budget",Documented,"React to events, errors or cost signals with a cooldown and evaluation limit; account for supervision costs.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/supervisors.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
S03,👁️ Supervising an active mission,Attaching a supervisor to a session,Conditional / limited,"Attach through the CLI to a local run, or to a Claude Code session with prepared transcript and hooks; remote cloud attachment is deferred.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/supervisors.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
S04,👁️ Supervising an active mission,Changing budgets and iterations during a run,Conditional / limited,Raise limits or grant extra iterations with acknowledgment and a recorded event; changes apply at safe boundaries.,https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/dsl.md ; https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/pkg/runview/steer.go,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
M01,📚 Reusable memory and knowledge,Document memory across runs,Documented,Retain knowledge as Markdown documents beyond a single run's artifacts.,https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/memory-and-knowledge.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
M02,📚 Reusable memory and knowledge,Seven visibility scopes,Conditional / limited,"Private run, bot, project, multiple projects, user, organization and global catalog; storage and context determine access. Global scope is read-only for organizations.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/memory-and-knowledge.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
M03,📚 Reusable memory and knowledge,"Agent memory read, write and list tools",Conditional / limited,"memory_read, memory_write, memory_list, with configurable permissions; check the adapter and backend in use.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/memory-and-knowledge.md ; https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/pkg/backend/model/memory_tools.go,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
M04,📚 Reusable memory and knowledge,Index and selective context loading,Documented,"Inject an index, preload selected documents and reinject memory before compaction according to configuration.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/memory-and-knowledge.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
M05,📚 Reusable memory and knowledge,Automatic bot memory,Conditional / limited,"auto_memory maintains a MEMORY.md per bot and repository; opt-in on claw/Claude Code/pi, with restrictions for cloud sandboxes without read-back.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/memory-and-knowledge.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
M06,📚 Reusable memory and knowledge,Memory quotas and secret detection,Conditional / limited,"Aggregate, space and document quotas; structured secret detection does not cover all confidential data.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/memory-and-knowledge.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
M07,📚 Reusable memory and knowledge,Memory import and export,Documented,"tar.gz archives through CLI/API, with skip, overwrite or rename strategies to retain or transfer knowledge.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/memory-and-knowledge.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
X01,"🧩 Skills, plugins and technical integrations",Editable skills library,Conditional / limited,"Global, project or bundled skills; management CLI and local editor, with selected skills transported to cloud runners.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/skills-library.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
X02,"🧩 Skills, plugins and technical integrations",Skills selected per workflow or node,Documented,Name and description enter the context; content loads on demand. A missing skill produces a warning.,https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/skills-library.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
X03,"🧩 Skills, plugins and technical integrations",Plugins with declarative contributions,Conditional / limited,"MCP, skills, output rewriting, commands, agents, hooks and lifecycle features; backend support varies by contribution.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/plugins.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
X04,"🧩 Skills, plugins and technical integrations",Private organization plugins from Git,Documented,"Resolve private and public sources, then transport them for local or cloud runs.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/plugins.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
X05,"🧩 Skills, plugins and technical integrations",Command output compression,Conditional / limited,RTK plugin and compress modes reduce text sent to the model; plugin availability and activation depend on the interface in use.,https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/plugins.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
X06,"🧩 Skills, plugins and technical integrations",MCP client in workflows,Conditional / limited,"Declare MCP servers, inherit them or disable them per node; transports and support depend on the backend.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/dsl.md ; https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/delegation.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
X07,"🧩 Skills, plugins and technical integrations",MCP server for controlling Iterion,Documented,"iterion mcp exposes launch, monitoring, human answers and board operations, locally or against a configured remote instance.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/mcp-server.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
X08,"🧩 Skills, plugins and technical integrations",Web search and page reading,Conditional / limited,"Native tools or configured providers/MCP, including DuckDuckGo, Brave, SearXNG and Firecrawl; coverage varies by backend.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/web-search.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
X09,"🧩 Skills, plugins and technical integrations",Deterministic connector actions and package generation,Conditional / limited,"Local in-process action: nodes use typed parameters, bound connections and structured results with pagination/completion indicators. Generate packages from OpenAPI/Swagger with an authored overlay. Project catalogs require opt-in; cloud transport and the catalog MCP facade are outside this delivered scope.",https://github.com/SocialGouv/iterion/blob/603d2a1e3314252dd2995e3bfaa4a7394e13093b/docs/dsl.md#tool ; https://github.com/SocialGouv/iterion/blob/603d2a1e3314252dd2995e3bfaa4a7394e13093b/pkg/runview/localconnectors.go ; https://github.com/SocialGouv/iterion/blob/603d2a1e3314252dd2995e3bfaa4a7394e13093b/cmd/iterion/connectors.go,603d2a1e3314252dd2995e3bfaa4a7394e13093b,2026-09-11
R01,"⏪ Recovery, repair and rewind",Workflow state checkpoints,Conditional / limited,"Resume eligible states with outputs, counters and position; interrupted steps may execute again.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/resume.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
R02,"⏪ Recovery, repair and rewind",Sub-bot recovery after restart,Conditional / limited,"Reattach the parent to its recorded child run instead of always launching a new child, when the state is recoverable.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/adr/084-subbot-reattach-across-restarts.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
R03,"⏪ Recovery, repair and rewind",Rewinding to an earlier node,Conditional / limited,rewind invalidates dependent outputs; --auto locates a changed node. Branch and starting-state restrictions apply.,https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/resume.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
R04,"⏪ Recovery, repair and rewind",File snapshots outside Git history,Conditional / limited,"Filesystem tracker wired to local CLI/Studio, with deduplicated states at execution boundaries; cloud runners do not wire this tracker. Separate from pushed Git workspace checkpoints.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/workspace-versioning.md ; https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/pkg/runview/service_launch.go ; https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/pkg/runner/loop.go,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
R05,"⏪ Recovery, repair and rewind",Targeted restoration and pre-rewind backup,Conditional / limited,Restore run-produced files from available local snapshots while protecting operator changes; ignored or oversized paths are excluded.,https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/workspace-versioning.md ; https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/resume.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
R06,"⏪ Recovery, repair and rewind",Actions with verifiable postconditions,Documented,"Check a condition before and after a command, skip an already-satisfied action and select required/recover/best_effort policy.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/adr/044-adaptive-recovery-for-deterministic-action-nodes.md ; https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/pkg/backend/model/executor_verified_action.go,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
R07,"⏪ Recovery, repair and rewind",Bounded action repair,Conditional / limited,"Propose a corrected command, then optionally delegate recovery to an agent; opt-in, bounded attempts, with success determined by the postcondition.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/adr/044-adaptive-recovery-for-deterministic-action-nodes.md ; https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/pkg/backend/model/executor_verified_action.go,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
R08,"⏪ Recovery, repair and rewind",Controlled retries and automatic recovery,Conditional / limited,"Error classification, backoff, compaction or human pause; optional CLI auto-resume excludes terminal errors.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/adr/056-adaptive-run-level-recovery.md ; https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/pkg/runtime/recovery_dispatch.go,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
R09,"⏪ Recovery, repair and rewind",Recovery hint after pod loss,Conditional / limited,Expose the last successfully pushed workspace checkpoint and a recovery command; this does not automatically restore files or validate a deliverable.,https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/resume.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
